t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.09196538557863612,0.0,0.0,0.0,0.0,0.09196538557863612,0.0,4.903194330969857,0.27,0.06
2,0.11063856031541514,0.0,0.0,0.0,0.0,0.11063856031541514,0.0,4.786732688532577,0.27,0.06
3,0.06769025842082363,0.0,0.0,0.0,0.0,0.06769025842082363,0.0,4.71547978493171,0.27,0.06
4,0.059287329789273,0.0,0.0,0.0,0.0,0.059287329789273,0.0,4.653072069364054,0.27,0.06
5,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.5587233970098024,0.27,0.06
6,0.0616214766313705,0.0,0.0,0.0,0.0,0.0616214766313705,0.0,4.493858684766255,0.27,0.06
7,0.07422586957869624,0.0,0.0,1.3877787807814457e-17,0.0,0.07422586957869626,0.0,4.41572619047289,0.27,0.06
8,0.10877124284173725,0.0,0.0,0.0,0.0,0.10877124284173725,0.0,4.301230145376325,0.27,0.06
9,0.11810783021012662,0.061852750561344205,0.0,0.0,0.0,0.056255079648782416,0.0,4.242014272061817,0.27,0.06
10,0.09943465547334776,0.09943465547334776,0.0,0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
11,0.056953182947175746,0.056953182947175746,0.0,0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
12,0.042481472526172126,0.042481472526172126,0.0,0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
13,0.0350122026314605,0.0350122026314605,0.0,0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
14,0.03267805578936313,0.03267805578936313,0.0,-0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
15,0.028943420842007336,0.028943420842007336,0.0,-0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
16,0.01820634536835945,0.01820634536835945,0.0,-0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
17,0.04808342494720575,0.04808342494720575,0.0,-0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
18,0.051351230526141996,0.051351230526141996,0.0,-0.0,0.0,0.0,0.0,4.242014272061817,0.27,0.06
19,0.036879520105138376,0.0,0.0,0.0,0.0,0.036879520105138376,0.0,4.203193724582724,0.27,0.06
20,0.05508586547349788,0.0,0.0,6.938893903907228e-18,0.0,0.055085865473497884,0.0,4.145208603031674,0.27,0.06
21,0.09149855621021674,0.0,0.0,0.0,0.0,0.09149855621021674,0.0,4.048894333336708,0.27,0.06
22,0.08309562757866612,0.0,0.0,0.0,0.0,0.08309562757866612,0.0,3.9614252516749544,0.27,0.06
23,0.151252715367909,0.0,0.0,0.0,0.0,0.151252715367909,0.0,3.8022118670771556,0.27,0.06
24,0.19466784663092002,0.0,0.0,0.0,0.0,0.19466784663092002,0.0,3.597298344307766,0.27,0.06
25,0.2679600574727779,0.0,0.0,0.0,0.0,0.2679600574727779,0.0,3.3152351259153683,0.27,0.06
26,0.09009806810495824,0.0,0.0,0.0,0.0,0.09009806810495824,0.0,3.2203950542259387,0.27,0.06
27,0.032678055789363086,0.0,0.0,0.0,0.0,0.032678055789363086,0.0,3.1859971007634513,0.27,0.06
28,0.03127756768410475,0.0,0.0,0.0,0.0,0.03127756768410475,0.0,3.153073345306499,0.27,0.06
29,0.022874639052554227,0.0,0.0,0.0,0.0,0.022874639052554227,0.0,3.128994777882758,0.27,0.06
30,0.06582294094714564,0.0,0.0,0.0,0.0,0.06582294094714564,0.0,3.0597074716226045,0.27,0.06
31,0.105503437262801,0.0,0.0,0.0,0.0,0.105503437262801,0.0,2.9486512218722876,0.27,0.06
32,0.10970490157857613,0.0,0.0,0.0,0.0,0.10970490157857613,0.0,2.8331723781053655,0.27,0.06
33,0.10083514357860612,0.0,0.0,0.0,0.0,0.10083514357860612,0.0,2.7270301217068327,0.27,0.06
34,0.0952331911575725,0.0952331911575725,0.0,0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
35,0.042481472526172126,0.042481472526172126,0.0,0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
36,0.049017083684044595,0.049017083684044595,0.0,0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
37,0.0303439089472657,0.0303439089472657,0.0,0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
38,0.023341468420973625,0.023341468420973625,0.0,0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
39,0.020073662842037376,0.020073662842037376,0.0,-0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
40,0.02987707957884626,0.02987707957884626,0.0,-0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
41,0.030343908947265727,0.030343908947265727,0.0,-0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
42,0.015872198526262087,0.015872198526262087,0.0,-0.0,0.0,0.0,0.0,2.7270301217068327,0.27,0.06
43,0.04808342494720575,0.0,0.0,0.0,0.0,0.04808342494720575,0.0,2.6764159901834583,0.27,0.06
44,0.0597541591576925,0.0,0.0,0.0,0.0,0.0597541591576925,0.0,2.613516875280624,0.27,0.06
45,0.086830262526022,0.0,0.086830262526022,0.0,0.0,0.0,0.0,2.613516875280624,0.27,0.06
46,0.156854667788943,0.0,0.156854667788943,0.0,0.0,0.0,0.0,2.613516875280624,0.27,0.06
47,0.09710050863125039,0.0,0.09710050863125039,0.0,0.0,0.0,0.0,2.613516875280624,0.27,0.06
48,0.08122831010498824,0.0,0.0,-1.3877787807814457e-17,0.0,0.08122831010498822,0.0,2.528013390959584,0.27,0.06
49,0.08076148073656887,0.0,0.0,0.0,0.0,0.08076148073656887,0.0,2.443001305973722,0.27,0.06
50,0.05928732978927313,0.0,0.0,0.0,0.0,0.05928732978927313,0.0,2.380593590406066,0.27,0.06
51,0.07422586957869626,0.0,0.0,0.0,0.0,0.07422586957869626,0.0,2.3024610961127014,0.27,0.06
52,0.11904148894696563,0.0,0.0,0.0,0.0,0.11904148894696578,0.0,2.177154265642211,0.27,0.06
53,0.05275171863140037,0.0,0.0,0.0,0.0,0.05275171863140037,0.0,2.1216261407670527,0.27,0.06
54,0.09616684989441138,0.0,0.0,0.0,0.0,0.09616684989441138,0.0,2.020397877720304,0.27,0.06
55,0.12697758821009664,0.0,0.0,0.0,0.0,0.12697758821009664,0.0,1.8867372585517812,0.27,0.06
56,0.08169513947340788,0.0,0.0,0.0,0.0,0.08169513947340788,0.0,1.8007423748955624,0.27,0.06
57,0.09383270305231411,0.0,0.0,0.0,0.0,0.09383270305231411,0.0,1.7019711085247056,0.27,0.06
58,0.09429953242073362,0.0,0.09429953242073362,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
59,0.051818059894561494,0.051818059894561494,0.0,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
60,0.04201464315775262,0.04201464315775262,0.0,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
61,0.06395562347346775,0.06395562347346775,0.0,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
62,0.033611714526202,0.033611714526202,0.0,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
63,0.03127756768410475,0.03127756768410475,0.0,0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
64,0.027076103368329475,0.027076103368329475,0.0,-0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
65,0.017272686631520512,0.017272686631520512,0.0,-0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
66,0.03547903199987995,0.03547903199987995,0.0,-0.0,0.0,0.0,0.0,1.7019711085247056,0.27,0.06
67,0.0518180598945615,0.0,0.05181805989456168,0.0,0.0,-1.8041124150158794e-16,0.0,1.7019711085247056,0.27,0.06
