t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.66936134177079,0.0,0.0,0.0,0.0,0.66936134177079,0.0,4.823852278481371,0.27,0.06
2,0.68343412960551,0.0,-0.0,0.0,0.0,0.68343412960551,0.0,4.644001191743079,0.27,0.06
3,0.6961598999648675,0.0,0.0,0.0,0.0,0.6961598999648675,0.0,4.460801218068114,0.27,0.06
4,0.66347700227315,0.0,0.0,0.0,0.0,0.66347700227315,0.0,4.286202006943601,0.27,0.06
5,0.6809173337962775,0.0,0.0,0.0,0.0,0.6809173337962775,0.0,4.107013234891949,0.27,0.06
6,0.672551646317705,0.0,0.0,0.0,0.0,0.672551646317705,0.0,3.9300259595451843,0.27,0.06
7,0.6626262543939725,0.0,0.0,0.0,0.0,0.6626262543939725,0.0,3.7556506294415075,0.27,0.06
8,0.667376263386045,0.0,0.0,0.0,0.0,0.667376263386045,0.0,3.580025296971496,0.27,0.06
9,0.67457217253075,0.0,0.0,1.1102230246251565e-16,0.0,0.6745721725307501,0.0,3.4025063042002457,0.27,0.06
10,0.6924024301651674,0.0,0.0,0.0,0.0,0.6924024301651674,0.0,3.2202951383673066,0.27,0.06
11,0.67496209864204,0.0,0.0,1.1102230246251565e-16,0.0,0.6749620986420402,0.0,3.0426735334615067,0.27,0.06
12,0.7042065569887475,0.0,0.0,0.0,0.0,0.7042065569887475,0.0,2.857356018464468,0.27,0.06
13,0.69343041718584,0.0,0.0,0.0,0.0,0.69343041718584,0.0,2.6748743297313524,0.27,0.06
14,0.6854192079902575,0.0,0.0,0.0,0.0,0.6854192079902575,0.0,2.494500853944442,0.27,0.06
15,0.67386321596477,0.0,0.0,4.440892098500626e-16,0.0,0.6738632159647704,0.0,2.317168428690555,0.27,0.06
16,0.65018406666101,0.0,0.0,3.3306690738754696e-16,0.0,0.6501840666610104,0.0,2.1460673585166052,0.27,0.06
17,0.662236328282685,0.0,0.0,0.0,0.0,0.662236328282685,0.0,1.9717946405474773,0.27,0.06
18,0.64830533176116,0.0,0.0,-1.1102230246251565e-16,0.0,0.6483053317611599,0.0,1.8011879742945405,0.27,0.06
19,0.648198988276265,0.0,0.0,0.0,0.0,0.648198988276265,0.0,1.6306092931692076,0.27,0.06
20,0.674040455106265,0.0,0.0,0.0,0.0,0.674040455106265,0.0,1.45323022603598,0.27,0.06
21,0.655182210451175,0.0,0.0,0.0,0.0,0.655182210451175,0.0,1.2808138548646184,0.27,0.06
22,0.6811654685943725,0.0,0.0,1.1102230246251565e-16,0.0,0.6811654685943727,0.0,1.1015597841818887,0.27,0.06
23,0.6606057281809276,0.0,0.6606057281809276,0.0,0.0,0.0,0.0,1.1015597841818887,0.27,0.06
24,0.636359413624385,0.0,0.25043223373320833,0.0,0.0,0.3859271798911763,0.0,1.0000000000000002,0.27,0.06
25,0.66790798081053,0.0,0.66790798081053,0.0,0.0,0.0,0.0,1.0000000000000002,0.27,0.06
26,0.635544113573505,0.0,0.635544113573505,0.0,0.0,0.0,0.0,1.0000000000000002,0.27,0.06
27,0.64979414054972,0.0,0.6497941405497198,0.0,0.0,8.43769498715119e-16,0.0,1.0,0.27,0.06
28,0.65833706716979,0.0,0.65833706716979,0.0,0.0,0.0,0.0,1.0,0.27,0.06
29,0.6308650002380325,0.0,0.6308650002380325,0.0,0.0,0.0,0.0,1.0,0.27,0.06
30,0.6565646757548375,0.0,0.6565646757548373,0.0,0.0,0.0,0.0,1.0,0.27,0.06
31,0.6524881755004475,0.0,0.6524881755004475,0.0,0.0,0.0,0.0,1.0,0.27,0.06
32,0.6625199109090775,0.0,0.6625199109090775,0.0,0.0,0.0,0.0,1.0,0.27,0.06
33,0.65348071469282,0.0,0.65348071469282,0.0,0.0,0.0,0.0,1.0,0.27,0.06
34,0.6375646397865525,0.0,0.6375646397865525,0.0,0.0,0.0,0.0,1.0,0.27,0.06
35,0.6587624411093775,0.009412375085422024,0.6493500660239555,0.0,0.0,0.0,0.0,1.0,0.27,0.06
36,0.6468165229726025,0.021514000195250363,0.6253025227773521,0.0,0.0,0.0,0.0,1.0,0.27,0.06
37,0.6410385269598575,0.028506050258706703,0.6125324767011509,0.0,0.0,0.0,0.0,1.0,0.27,0.06
38,0.8450407788208375,0.034691325314841155,0.8103494535059963,0.0,0.0,0.0,0.0,1.0,0.27,0.06
39,0.9253301099181676,0.04006982536365377,0.8852602845545138,0.0,0.0,0.0,0.0,1.0,0.27,0.06
40,0.934298410477825,0.04464155040514443,0.8896568600726806,0.0,0.0,0.0,0.0,1.0,0.27,0.06
41,0.81168437239144,0.049213275446635146,0.7624710969448049,0.0,0.0,0.0,0.0,1.0,0.27,0.06
42,0.6474900317102825,0.05217145047348207,0.5953185812368005,0.0,0.0,0.0,0.0,1.0,0.27,0.06
43,0.6887158560220675,0.05647425051253213,0.6322416055095355,0.0,0.0,0.0,0.0,1.0,0.27,0.06
44,0.68268972521123,0.10837677598357359,0.5743129492276564,0.0,0.0,0.0,0.0,1.0,0.27,0.06
45,0.6922251910236725,0.2043830018548782,0.4878421891687943,0.0,0.0,0.0,0.0,1.0,0.27,0.06
46,0.6790740467247275,0.2535962773015132,0.4254777694232143,0.0,0.0,0.0,0.0,1.0,0.27,0.06
47,0.6865180906675274,0.3455686281362089,0.3409494625313185,0.0,0.0,0.0,0.0,1.0,0.27,0.06
48,0.68159084253396,0.39585760359260636,0.2857332389413536,0.0,0.0,0.0,0.0,1.0,0.27,0.06
49,0.6749975464703375,0.4327003289269722,0.2422972175433653,0.0,0.0,0.0,0.0,1.0,0.27,0.06
50,0.6996337871381725,0.46281992920032267,0.23681385793784981,0.0,0.0,0.0,0.0,1.0,0.27,0.06
51,0.6983222174911075,0.42597720386595683,0.2723450136251506,0.0,0.0,0.0,0.0,1.0,0.27,0.06
52,0.7088502224959226,0.4778797293369978,0.23097049315892476,0.0,0.0,0.0,0.0,1.0,0.27,0.06
53,0.6896374995578425,0.5354296798592926,0.1542078196985499,0.0,0.0,0.0,0.0,1.0,0.27,0.06
54,0.682902412181025,0.5443042049398337,0.13859820724119132,0.0,0.0,0.0,0.0,1.0,0.27,0.06
55,0.7009453567852375,0.519294179712855,0.18165117707238254,0.0,0.0,0.0,0.0,1.0,0.27,0.06
56,0.2260862488912835,0.37703285342176207,0.0,0.0,0.15094660453047856,0.0,0.0,1.0358498185759886,0.27,0.06
57,0.20953211307563124,0.26516005240646034,0.0,-3.3306690738754696e-16,0.055627939330829435,0.0,0.0,1.0490614541670606,0.27,0.06
58,0.14320922632812574,0.19604632677921868,0.0,0.0,0.05283710045109294,0.0,0.0,1.0616102655241952,0.27,0.06
59,0.3793626584563375,0.1772215766083745,0.20214108184796298,0.0,0.0,0.0,0.0,1.0616102655241952,0.27,0.06
60,0.6444060706482675,0.1834068516645092,0.4609992189837583,0.0,0.0,0.0,0.0,1.0616102655241952,0.27,0.06
61,0.7101263443146875,0.2025005268377938,0.5076258174768937,0.0,0.0,0.0,0.0,1.0616102655241952,0.27,0.06
62,0.62398812154802,0.2143332269451815,0.40965489460283844,0.0,0.0,0.0,0.0,1.0616102655241952,0.27,0.06
63,0.3510398436454025,0.16377532648634324,0.0,0.0,0.0,0.18726451715905928,0.0,1.012330129429706,0.27,0.06
64,0.3451200563194625,0.12101625109828315,0.22410380522117937,0.0,0.0,0.0,0.0,1.012330129429706,0.27,0.06
65,0.3623122530444975,0.08766955079564516,0.27464270224885234,0.0,0.0,0.0,0.0,1.012330129429706,0.27,0.06
66,0.3425678126819325,0.07476115067849498,0.2678066620034375,0.0,0.0,0.0,0.0,1.012330129429706,0.27,0.06
67,0.3654671097631125,0.06588662559795415,0.28825194488405326,0.0,0.0,0.011328539281105022,0.0,1.0093489348820468,0.27,0.06
68,0.407933608065365,0.058894575534497805,0.3490390325308672,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
69,0.429344096357985,0.04759972543199135,0.3817443709259936,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
70,0.5013031878050375,0.03361562530507866,0.4676875624999588,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
71,0.4223963220113725,0.019631525178165944,0.40276479683320654,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
72,0.38255296300325,0.008874525080540768,0.3736784379227092,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
73,0.3865585676010425,0.0,0.3865585676010426,0.0,0.0,-1.1102230246251565e-16,0.0,1.0093489348820468,0.27,0.06
74,0.397157468262455,0.0,0.397157468262455,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
75,0.38000071936572,0.0,0.38000071936572,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
76,0.390918650481825,0.0,0.390918650481825,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
77,0.397157468262455,0.0,0.397157468262455,0.0,0.0,0.0,0.0,1.0093489348820468,0.27,0.06
