t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204458,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821527,0.27,0.06
4,0.41913879685514,0.0,0.0,-5.551115123125783e-17,0.0,0.41913879685513994,0.0,4.521241182438595,0.27,0.06
5,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.444930730026183,0.27,0.06
6,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.368620277613771,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.285300372900045,0.27,0.06
8,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.20198046818632,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.112180126439305,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.02237978469229,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.9799263094333917,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.16132320598381275,0.0,3.9374728341744936,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429182,0.0,3.900441765412838,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429182,0.0,3.863410696651182,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.8366954256159875,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.10151802993374132,0.0,3.8099801545807925,0.27,0.06
17,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7852486908006866,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.760517227020581,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.735785763240475,0.27,0.06
20,0.093979562364402,0.0,0.0,2.7755575615628914e-17,0.0,0.09397956236440203,0.0,3.7110542994603692,0.27,0.06
21,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6918774959945115,0.27,0.06
22,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6727006925286543,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.651011066539685,0.27,0.06
24,0.08242057875808526,0.0,0.0,2.7755575615628914e-17,0.0,0.08242057875808528,0.0,3.629321440550715,0.27,0.06
25,0.052266708480737,0.0,0.0,0.0,0.0,0.05226670848073836,0.0,3.6155670435820997,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.05226670848073667,0.0,3.6018126466134848,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355314952,0.0,3.557375364099498,0.27,0.06
28,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5129380815855114,0.27,0.06
29,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904444,0.0,3.4903226788774995,0.27,0.06
30,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.4677072761694885,0.27,0.06
31,0.0829231432627075,0.0,0.0,1.3877787807814457e-17,0.0,0.08292314326270751,0.0,3.4458853963635128,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.424063516557537,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.39549669208426,0.27,0.06
34,0.1085539329984535,0.0,0.0,5.551115123125783e-17,0.0,0.10855393299845356,0.0,3.366929867610983,0.27,0.06
35,0.1256411261556175,0.0,0.0,0.0,0.0,0.1256411261556175,0.0,3.3338664133595044,0.27,0.06
36,0.1256411261556175,0.0,0.0,0.0,0.0,0.1256411261556175,0.0,3.3008029591080263,0.27,0.06
37,0.12815394867873,0.0,0.0,0.0,0.0,0.12815394867873,0.0,3.2670782357715185,0.27,0.06
38,0.12815394867873,0.0,0.0,0.0,0.0,0.12815394867873,0.0,3.2333535124350106,0.27,0.06
39,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.2116638864460407,0.27,0.06
40,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.189974260457071,0.27,0.06
41,0.08744622380430975,0.0,0.0,0.0,0.0,0.08744622380430975,0.0,3.1669620962980423,0.27,0.06
42,0.08744622380430975,0.0,0.0,0.0,0.0,0.08744622380430975,0.0,3.143949932139013,0.27,0.06
43,0.273395090514625,0.0,0.0,0.0,0.0,0.273395090514625,0.0,3.0720038556877958,0.27,0.06
44,0.273395090514625,0.0,0.0,0.0,0.0,0.273395090514625,0.0,3.000057779236579,0.27,0.06
45,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.000057779236579,0.27,0.06
46,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.000057779236579,0.27,0.06
47,1.6981654108628774,1.181834419271919,0.0,0.0,0.0,0.5163309915909584,0.0,2.864181202502116,0.27,0.06
48,1.6981654108628774,0.21247289896717603,1.4856925118957014,0.0,0.0,0.0,0.0,2.864181202502116,0.27,0.06
49,1.582073060551535,0.3963741924480302,0.0,0.0,0.0,1.1856988681035048,0.0,2.552155184580141,0.27,0.06
50,1.582073060551535,0.6949615336748636,0.0,0.0,0.0,0.8871115268766714,0.0,2.3187047827704905,0.27,0.06
51,1.646903881647835,1.646903881647835,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
52,1.646903881647835,1.646903881647835,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
53,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
54,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
55,1.07850337666337,1.07850337666337,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
56,1.07850337666337,1.07850337666337,0.0,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
57,1.321242032396025,0.08920755360788304,1.2320344787881419,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
58,1.321242032396025,-0.0,1.321242032396025,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
59,1.2152009721771324,0.0,1.2152009721771324,0.0,0.0,0.0,0.0,2.3187047827704905,0.27,0.06
60,1.2152009721771324,0.9081663293800737,0.0,0.0,0.0,0.3070346427970587,0.0,2.237906192560738,0.27,0.06
61,1.21469845792896,0.0,1.21469845792896,0.0,0.0,0.0,0.0,2.237906192560738,0.27,0.06
62,1.21469845792896,0.0,1.21469845792896,0.0,0.0,0.0,0.0,2.237906192560738,0.27,0.06
63,0.90964170311022,-0.0,0.90964170311022,0.0,0.0,0.0,0.0,2.237906192560738,0.27,0.06
64,0.90964170311022,0.0,0.90964170311022,0.0,0.0,0.0,0.0,2.237906192560738,0.27,0.06
65,0.1266462551648625,0.0,0.0,0.0,0.0,0.1266462551648625,0.0,2.204578230675248,0.27,0.06
66,0.1266462551648625,0.1266462551648625,0.0,0.0,0.0,0.0,0.0,2.204578230675248,0.27,0.06
67,0.20152836635361074,0.12451799513876821,0.0,0.0,0.0,0.07701037121484253,0.0,2.1843123435134473,0.27,0.06
68,0.20152836635361074,0.20152836635361074,0.0,0.0,0.0,0.0,0.0,2.1843123435134473,0.27,0.06
69,0.16584628652541525,0.0,0.0,0.0,0.0,0.16584628652541525,0.0,2.140668583901496,0.27,0.06
70,0.16584628652541525,0.1550500494803535,0.0,0.0,0.0,0.010796237045061741,0.0,2.1378274688896375,0.27,0.06
71,0.2904822836717875,0.0,0.0,0.0,0.0,0.2904822836717875,0.0,2.0613847626602197,0.27,0.06
72,0.2904822836717875,0.0,0.0,0.0,0.0,0.2904822836717875,0.0,1.984942056430802,0.27,0.06
73,0.34375412116177,0.0,0.0,0.0,0.0,0.34375412116177,0.0,1.8944804455987572,0.27,0.06
74,0.34375412116177,0.0,0.0,0.0,0.0,0.34375412116177,0.0,1.8040188347667123,0.27,0.06
