t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.948795398716546,0.27,0.06
2,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.897590797433092,0.27,0.06
3,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.853836045926535,0.27,0.06
4,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.810081294419977,0.27,0.06
5,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.779809721734984,0.27,0.06
6,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.749538149049993,0.27,0.06
7,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.71648599863137,0.27,0.06
8,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.683433848212747,0.27,0.06
9,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.647810974983787,0.27,0.06
10,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.6121881017548265,0.27,0.06
11,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.595347244160576,0.27,0.06
12,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.578506386566325,0.27,0.06
13,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.563816541935826,0.27,0.06
14,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.5491266973053275,0.27,0.06
15,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.538529023679039,0.27,0.06
16,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.52793135005275,0.27,0.06
17,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.5181206323888095,0.27,0.06
18,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.50830991472487,0.27,0.06
