t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.3861518734099475,0.0,0.0,-1.1102230246251565e-16,0.0,0.3861518734099474,0.0,4.8983810859447505,0.27,0.06
2,0.3861518734099475,0.0,0.0,0.0,0.0,0.3861518734099475,0.0,4.796762171889501,0.27,0.06
3,0.32996994100809,0.0,0.0,0.0,0.0,0.32996994100809,0.0,4.709927976887372,0.27,0.06
4,0.32996994100809,0.0,0.0,0.0,0.0,0.32996994100809,0.0,4.623093781885244,0.27,0.06
5,0.22828855630895475,0.0,0.0,0.0,0.0,0.22828855630895475,0.0,4.563017846014466,0.27,0.06
6,0.22828855630895475,0.0,-0.0,0.0,0.0,0.22828855630895475,0.0,4.502941910143688,0.27,0.06
7,0.24925786910683126,0.0,0.0,0.0,0.0,0.24925786910683126,0.0,4.437347734062944,0.27,0.06
8,0.24925786910683126,0.0,0.0,0.0,0.0,0.24925786910683126,0.0,4.371753557982198,0.27,0.06
9,0.268644592259585,0.0,0.0,0.0,0.0,0.268644592259585,0.0,4.3010576126507285,0.27,0.06
10,0.268644592259585,0.0,0.0,0.0,0.0,0.268644592259585,0.0,4.230361667319259,0.27,0.06
11,0.12700281902109975,0.0,0.0,0.0,0.0,0.12700281902109975,0.0,4.196939872840022,0.27,0.06
12,0.12700281902109975,0.0,0.0,0.0,0.0,0.12700281902109975,0.0,4.163518078360785,0.27,0.06
13,0.11078127515859175,0.0,0.0,0.0,0.0,0.11078127515859175,0.0,4.134365111213787,0.27,0.06
14,0.11078127515859175,0.0,0.0,0.0,0.0,0.11078127515859175,0.0,4.1052121440667895,0.27,0.06
15,0.07992077707869825,0.0,0.0,0.0,0.0,0.07992077707869825,0.0,4.084180360625027,0.27,0.06
16,0.07992077707869825,0.0,0.0,0.0,0.0,0.07992077707869825,0.0,4.063148577183264,0.27,0.06
17,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,4.0436785598386615,0.27,0.06
18,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,4.024208542494059,0.27,0.06
19,0.073986065909488,0.0,-0.0,0.0,0.0,0.073986065909488,0.0,4.004738525149458,0.27,0.06
20,0.073986065909488,0.0,0.0,0.0,0.0,0.073986065909488,0.0,3.985268507804856,0.27,0.06
21,0.05736887463569925,0.0,0.0,0.0,0.0,0.05736887463569925,0.0,3.9701714355323037,0.27,0.06
22,0.05736887463569925,0.0,0.0,0.0,0.0,0.05736887463569925,0.0,3.955074363259751,0.27,0.06
23,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.937999053930795,0.27,0.06
24,0.06488617545003225,0.0,0.0,0.0,0.0,0.06488617545003225,0.0,3.920923744601839,0.27,0.06
25,0.04114733077319125,0.0,0.0,0.0,0.0,0.04114733077319125,0.0,3.9100954996615256,0.27,0.06
26,0.04114733077319125,0.0,0.0,0.0,0.0,0.04114733077319125,0.0,3.899267254721212,0.27,0.06
27,0.13293753019031,0.0,0.0,0.0,0.0,0.13293753019031,0.0,3.864283694144815,0.27,0.06
28,0.13293753019031,0.0,0.0,0.0,0.0,0.13293753019031,0.0,3.8293001335684176,0.27,0.06
29,0.067655707328997,0.0,-0.0,0.0,0.0,0.067655707328997,0.0,3.8114960000607865,0.27,0.06
30,0.067655707328997,0.0,0.0,0.0,0.0,0.067655707328997,0.0,3.793691866553156,0.27,0.06
31,0.065281822861313,0.0,0.0,0.0,0.0,0.065281822861313,0.0,3.7765124394843896,0.27,0.06
