t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.976412831911437,0.27,0.06
2,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.952825663822875,0.27,0.06
3,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,4.928009997396366,0.27,0.06
4,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,4.903194330969857,0.27,0.06
5,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,4.85921409047139,0.27,0.06
6,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,4.815233849972924,0.27,0.06
7,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,4.80098326925275,0.27,0.06
8,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,4.786732688532577,0.27,0.06
9,0.05601952421033675,0.0,0.0,0.0,0.0,0.05601952421033675,0.0,4.771990708477225,0.27,0.06
10,0.05601952421033675,0.0,0.0,1.3877787807814457e-17,0.0,0.05601952421033676,0.0,4.757248728421874,0.27,0.06
11,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,4.736364256676792,0.27,0.06
12,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,4.71547978493171,0.27,0.06
13,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,4.70319480155225,0.27,0.06
14,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,4.690909818172791,0.27,0.06
15,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,4.6719909437684235,0.27,0.06
16,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,4.653072069364054,0.27,0.06
17,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.625799406261653,0.27,0.06
18,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.598526743159253,0.27,0.06
19,0.0756263576839545,0.0,0.0,0.0,0.0,0.0756263576839545,0.0,4.578625070084528,0.27,0.06
20,0.0756263576839545,0.0,0.0,0.0,0.0,0.0756263576839545,0.0,4.558723397009803,0.27,0.06
21,0.07095806399976,0.0,0.0,0.0,0.0,0.07095806399976,0.0,4.540050222273024,0.27,0.06
22,0.07095806399976,0.0,0.0,0.0,0.0,0.07095806399976,0.0,4.521377047536245,0.27,0.06
23,0.052284889262981,0.0,0.0,0.0,0.0,0.052284889262981,0.0,4.50761786615125,0.27,0.06
24,0.052284889262981,0.0,0.0,0.0,0.0,0.052284889262981,0.0,4.493858684766255,0.27,0.06
25,0.0429483018945915,0.0,0.0,0.0,0.0,0.0429483018945915,0.0,4.482556500057152,0.27,0.06
26,0.0429483018945915,0.0,0.0,0.0,0.0,0.0429483018945915,0.0,4.471254315348049,0.27,0.06
27,0.105503437262801,0.0,0.0,0.0,0.0,0.10550343726280023,0.0,4.44349025291047,0.27,0.06
28,0.105503437262801,0.0,0.0,0.0,0.0,0.10550343726280023,0.0,4.415726190472891,0.27,0.06
29,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.3884535273704905,0.27,0.06
30,0.103636119789123,0.0,0.0,-2.7755575615628914e-17,0.0,0.10363611978912297,0.0,4.36118086426809,0.27,0.06
31,0.1139063658943515,0.0,0.0,0.0,0.0,0.1139063658943515,0.0,4.331205504822208,0.27,0.06
32,0.1139063658943515,0.0,0.0,0.0,0.0,0.1139063658943515,0.0,4.3012301453763255,0.27,0.06
33,0.1297785644206135,0.0,0.0,0.0,0.0,0.1297785644206135,0.0,4.267077891581428,0.27,0.06
34,0.1297785644206135,0.0,0.0,0.0,0.0,0.1297785644206135,0.0,4.232925637786529,0.27,0.06
35,0.10643709599963976,3.7470027081099033e-16,0.0,0.0,0.0,0.10643709599963938,0.0,4.204915875681361,0.27,0.06
