t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.9487953987165465,0.14,0.06,0.0,0.0,0.0
2,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.897590797433092,0.14,0.06,0.0,0.0,0.0
3,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.853836045926535,0.14,0.06,0.0,0.0,0.0
4,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.810081294419977,0.14,0.06,0.0,0.0,0.0
5,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.779809721734984,0.14,0.06,0.0,0.0,0.0
6,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.749538149049991,0.14,0.06,0.0,0.0,0.0
7,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.716485998631369,0.14,0.06,0.0,0.0,0.0
8,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.683433848212746,0.14,0.06,0.0,0.0,0.0
9,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.647810974983786,0.14,0.06,0.0,0.0,0.0
10,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.612188101754826,0.14,0.06,0.0,0.0,0.0
11,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.595347244160575,0.14,0.06,0.0,0.0,0.0
12,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.578506386566324,0.14,0.06,0.0,0.0,0.0
13,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.563816541935825,0.14,0.06,0.0,0.0,0.0
14,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.549126697305327,0.14,0.06,0.0,0.0,0.0
15,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.538529023679038,0.14,0.06,0.0,0.0,0.0
16,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.527931350052749,0.14,0.06,0.0,0.0,0.0
17,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.518120632388809,0.14,0.06,0.0,0.0,0.0
18,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.508309914724869,0.14,0.06,0.0,0.0,0.0
19,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.498499197060928,0.14,0.06,0.0,0.0,0.0
20,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.488688479396988,0.14,0.06,0.0,0.0,0.0
21,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.481081238427622,0.14,0.06,0.0,0.0,0.0
22,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.473473997458257,0.14,0.06,0.0,0.0,0.0
23,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.46486994560325,0.14,0.06,0.0,0.0,0.0
24,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.456265893748244,0.14,0.06,0.0,0.0,0.0
25,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.4508096657426295,0.14,0.06,0.0,0.0,0.0
26,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.445353437737015,0.14,0.06,0.0,0.0,0.0
27,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.427725624180416,0.14,0.06,0.0,0.0,0.0
28,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.410097810623817,0.14,0.06,0.0,0.0,0.0
29,0.0340909322889225,0.0,0.0,0.0,0.0,0.0340909322889225,0.0,4.4011265126530486,0.14,0.06,0.0,0.0,0.0
