t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1722983996719955,0.0,0.0,-8.881784197001252e-16,0.0,0.17229839967199462,0.0,4.954658315875791,0.27,0.06
2,0.13974173008711724,0.0,0.0,0.0,0.0,0.13974173008711724,0.0,4.917884176379181,0.27,0.06
3,0.2773180595618275,0.0,0.0,0.0,0.0,0.2773180595618275,0.0,4.8449057396523845,0.27,0.06
4,0.3201857282892275,0.0,0.0,0.0,0.0,0.3201857282892275,0.0,4.760646337471009,0.27,0.06
5,0.13924388466330026,0.0,0.0,0.0,0.0,0.13924388466330026,0.0,4.724003209928035,0.27,0.06
6,0.14134119091682776,0.0,0.0,0.0,0.0,0.14134119091682776,0.0,4.686808159686764,0.27,0.06
7,0.17238919215050325,0.0,0.0,0.0,0.0,0.17238919215050325,0.0,4.641442582805053,0.27,0.06
8,0.1407828171740055,0.0,0.0,0.0,0.0,0.1407828171740055,0.0,4.6043944730224196,0.27,0.06
9,0.13922723937557374,0.0,0.0,0.0,0.0,0.13922723937557374,0.0,4.567755725818321,0.27,0.06
10,0.16824451550662775,0.0,0.0,0.0,0.0,0.16824451550662775,0.0,4.523480853316577,0.27,0.06
11,0.14828378910671475,0.0,0.0,0.0,0.0,0.14828378910671475,0.0,4.484458803551651,0.27,0.06
12,0.171298169200436,0.0,0.0,0.0,0.0,0.171298169200436,0.0,4.439380337972589,0.27,0.06
13,0.322994242291065,0.0,0.0,0.0,0.0,0.322994242291065,0.0,4.354381853159151,0.27,0.06
14,0.256664283909305,0.0,0.0,0.0,0.0,0.256664283909305,0.0,4.28683862055144,0.27,0.06
15,0.13851754483523876,0.0,0.0,0.0,0.0,0.13851754483523876,0.0,4.250386635068482,0.27,0.06
16,0.508466630594525,0.0,0.0,0.0,0.0,0.508466630594525,0.0,4.116579627017291,0.27,0.06
17,0.6285427098368775,0.0,0.0,0.0,0.0,0.6285427098368775,0.0,3.951173650744429,0.27,0.06
18,0.448593530642635,0.0,0.0,5.551115123125783e-17,0.0,0.4485935306426351,0.0,3.8331227216279458,0.27,0.06
19,0.3913851899349475,0.0,0.0,0.0,0.0,0.3913851899349475,0.0,3.730126619013486,0.27,0.06
20,0.2312923257903345,0.0,0.0,0.0,0.0,0.2312923257903345,0.0,3.6692602174897138,0.27,0.06
21,0.06013337172361025,0.0,0.0,0.0,0.0,0.06013337172361025,0.0,3.6534356459835005,0.27,0.06
22,0.058202518347347,0.0,0.0,0.0,0.0,0.058202518347347,0.0,3.6381191937868302,0.27,0.06
23,0.09063661808623975,0.0,-0.0,0.0,0.0,0.09063661808623975,0.0,3.6142674521851883,0.27,0.06
