t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.9487953987165465,0.27,0.06
2,0.1945774848771245,0.0,0.0,0.0,0.0,0.1945774848771245,0.0,4.897590797433093,0.27,0.06
3,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.853836045926535,0.27,0.06
4,0.16626805572491976,0.0,0.0,0.0,0.0,0.16626805572491976,0.0,4.810081294419977,0.27,0.06
5,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.779809721734984,0.27,0.06
6,0.115031976202972,0.0,0.0,0.0,0.0,0.115031976202972,0.0,4.749538149049991,0.27,0.06
7,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.716485998631368,0.27,0.06
8,0.12559817159076675,0.0,0.0,0.0,0.0,0.12559817159076675,0.0,4.683433848212745,0.27,0.06
9,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.647810974983785,0.27,0.06
10,0.13536691827004876,0.0,0.0,0.0,0.0,0.13536691827004876,0.0,4.612188101754825,0.27,0.06
11,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.595347244160574,0.27,0.06
12,0.0639952588581525,0.0,0.0,0.0,0.0,0.0639952588581525,0.0,4.578506386566323,0.27,0.06
13,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.563816541935824,0.27,0.06
14,0.05582140959589625,0.0,0.0,0.0,0.0,0.05582140959589625,0.0,4.549126697305326,0.27,0.06
15,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.538529023679037,0.27,0.06
16,0.04027115977989675,0.0,0.0,0.0,0.0,0.04027115977989675,0.0,4.527931350052748,0.27,0.06
17,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.518120632388808,0.27,0.06
18,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.508309914724867,0.27,0.06
19,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.4984991970609265,0.27,0.06
20,0.0372807271229735,0.0,0.0,0.0,0.0,0.0372807271229735,0.0,4.488688479396986,0.27,0.06
21,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.48108123842762,0.27,0.06
22,0.02890751568358925,0.0,0.0,0.0,0.0,0.02890751568358925,0.0,4.473473997458255,0.27,0.06
23,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.464869945603248,0.27,0.06
24,0.032695397049025,0.0,0.0,0.0,0.0,0.032695397049025,0.0,4.456265893748242,0.27,0.06
25,0.020733666421332925,0.0,-0.0,0.0,0.0,0.020733666421332925,0.0,4.450809665742628,0.27,0.06
26,0.020733666421332925,0.0,0.0,0.0,0.0,0.020733666421332925,0.0,4.445353437737014,0.27,0.06
27,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.427725624180415,0.27,0.06
28,0.0669856915150755,0.0,0.0,0.0,0.0,0.0669856915150755,0.0,4.410097810623816,0.27,0.06
29,0.0340909322889225,0.0,-0.0,0.0,0.0,0.0340909322889225,0.0,4.401126512653047,0.27,0.06
30,0.0340909322889225,0.0,0.0,0.0,0.0,0.0340909322889225,0.0,4.392155214682278,0.27,0.06
31,0.03289475922615325,0.0,0.0,0.0,0.0,0.03289475922615325,0.0,4.383498699096449,0.27,0.06
32,0.03289475922615325,0.0,0.0,0.0,0.0,0.03289475922615325,0.0,4.374842183510619,0.27,0.06
33,0.0430622302596915,0.0,-0.0,0.0,0.0,0.0430622302596915,0.0,4.363510017652806,0.27,0.06
34,0.0430622302596915,0.0,0.0,0.0,0.0,0.0430622302596915,0.0,4.352177851794993,0.27,0.06
35,0.04984054428205025,0.0,-0.0,0.0,0.0,0.04984054428205025,0.0,4.339061919089191,0.27,0.06
36,0.04984054428205025,0.0,-0.0,0.0,0.0,0.04984054428205025,0.0,4.325945986383388,0.27,0.06
37,0.05083735516769125,0.0,0.0,0.0,0.0,0.05083735516769125,0.0,4.312567735023469,0.27,0.06
38,0.05083735516769125,0.0,0.05083735516769125,0.0,0.0,0.0,0.0,4.312567735023469,0.27,0.06
39,0.032695397049025,0.0,0.032695397049025,0.0,0.0,0.0,0.0,4.312567735023469,0.27,0.06
40,0.032695397049025,0.0,0.032695397049025,0.0,0.0,0.0,0.0,4.312567735023469,0.27,0.06
41,0.034689018820307,0.0,0.034689018820307,0.0,0.0,0.0,0.0,4.312567735023469,0.27,0.06
42,0.034689018820307,0.0,0.0,0.0,0.0,0.034689018820307,0.0,4.30343904586023,0.27,0.06
43,0.1084530243577415,0.0,0.0,0.0,0.0,0.1084530243577415,0.0,4.274898776292404,0.27,0.06
44,0.1084530243577415,0.0,0.0,0.0,0.0,0.1084530243577415,0.0,4.246358506724578,0.27,0.06
45,0.0689793132863575,0.0,0.0,0.0,0.0,0.0689793132863575,0.0,4.228206055859747,0.27,0.06
46,0.0689793132863575,0.0689793132863575,0.0,0.0,0.0,0.0,0.0,4.228206055859747,0.27,0.06
47,0.673644776579975,-0.0,0.673644776579975,0.0,0.0,0.0,0.0,4.228206055859747,0.27,0.06
48,0.673644776579975,0.673644776579975,-0.0,0.0,0.0,0.0,0.0,4.228206055859747,0.27,0.06
49,0.6275921335995776,0.0,0.6275921335995776,0.0,0.0,-0.0,0.0,4.228206055859747,0.27,0.06
50,0.6275921335995776,0.11821314017038476,0.5093789934291928,0.0,0.0,0.0,0.0,4.228206055859747,0.27,0.06
