t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.66936134177079,0.0,0.66936134177079,0.0,0.0,0.0,0.0,5.0,0.27,0.06
2,0.68343412960551,0.0,0.68343412960551,0.0,0.0,0.0,0.0,5.0,0.27,0.06
3,0.6961598999648675,0.0,0.6961598999648675,0.0,0.0,0.0,0.0,5.0,0.27,0.06
4,0.66347700227315,0.0,0.0,0.0,0.0,0.66347700227315,0.0,4.825400788875487,0.27,0.06
5,0.6809173337962775,0.0,0.0,0.0,0.0,0.6809173337962775,0.0,4.646212016823835,0.27,0.06
6,0.672551646317705,0.0,0.0,0.0,0.0,0.672551646317705,0.0,4.4692247414770705,0.27,0.06
7,0.6626262543939725,0.0,0.0,0.0,0.0,0.6626262543939725,0.0,4.294849411373393,0.27,0.06
8,0.667376263386045,0.0,0.0,0.0,0.0,0.667376263386045,0.0,4.119224078903382,0.27,0.06
9,0.67457217253075,0.0,0.0,0.0,0.0,0.67457217253075,0.0,3.9417050861321314,0.27,0.06
10,0.6924024301651674,0.0,0.6924024301651674,0.0,0.0,0.0,0.0,3.9417050861321314,0.27,0.06
11,0.67496209864204,0.0,0.0,0.0,0.0,0.67496209864204,0.0,3.7640834812263315,0.27,0.06
12,0.7042065569887475,0.0,0.7042065569887475,0.0,0.0,0.0,0.0,3.7640834812263315,0.27,0.06
13,0.69343041718584,0.0,0.69343041718584,0.0,0.0,0.0,0.0,3.7640834812263315,0.27,0.06
14,0.6854192079902575,0.0,0.0,0.0,0.0,0.6854192079902575,0.0,3.5837100054394218,0.27,0.06
15,0.67386321596477,0.0,0.67386321596477,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
16,0.65018406666101,0.0,0.65018406666101,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
17,0.662236328282685,0.0,0.6622363282826846,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
18,0.64830533176116,0.0,0.64830533176116,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
19,0.648198988276265,0.0,0.648198988276265,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
20,0.674040455106265,0.0,0.674040455106265,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
21,0.655182210451175,0.0,0.6551822104511751,0.0,0.0,-1.1102230246251565e-16,0.0,3.5837100054394218,0.27,0.06
22,0.6811654685943725,0.0,0.6811654685943725,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
23,0.6606057281809276,0.0,0.6606057281809276,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
24,0.636359413624385,0.0,0.636359413624385,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
25,0.66790798081053,0.0,0.66790798081053,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
26,0.635544113573505,0.0,0.635544113573505,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
27,0.64979414054972,0.0,0.64979414054972,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
28,0.65833706716979,0.0,0.65833706716979,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
29,0.6308650002380325,0.0,0.6308650002380325,0.0,0.0,0.0,0.0,3.5837100054394218,0.27,0.06
30,0.6565646757548375,0.0,0.6330072053682315,0.0,0.0,0.02355747038660594,0.0,3.5775106711271567,0.27,0.06
31,0.6524881755004475,0.0,0.0,0.0,0.0,0.6524881755004475,0.0,3.405803256521776,0.27,0.06
32,0.6625199109090775,0.0,0.0,0.0,0.0,0.6625199109090775,0.0,3.231455911545703,0.27,0.06
33,0.65348071469282,0.0,0.0,0.0,0.0,0.65348071469282,0.0,3.0594873024160134,0.27,0.06
34,0.6375646397865525,0.0,0.0,0.0,0.0,0.637564639786552,0.0,2.8917071340511313,0.27,0.06
35,0.6587624411093775,0.007529900068337619,0.6512325410410399,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
36,0.6468165229726025,0.01721120015620029,0.6296053228164022,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
37,0.6410385269598575,0.022804840206965365,0.6182336867528921,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
38,0.8450407788208375,0.027753060251872925,0.8172877185689645,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
39,0.9253301099181676,0.03205586029092302,0.8932742496272446,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
40,0.934298410477825,0.03571324032411554,0.8985851701537095,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
41,0.81168437239144,0.03937062035730812,0.7723137520341319,0.0,0.0,0.0,0.0,2.8917071340511313,0.27,0.06
42,0.6474900317102825,0.04173716037878566,0.0,0.0,0.0,0.6057528713314971,0.0,2.7322984837007374,0.27,0.06
43,0.6887158560220675,0.04517940041002571,0.6435364556120419,0.0,0.0,0.0,0.0,2.7322984837007374,0.27,0.06
44,0.68268972521123,0.08670142078685888,0.595988304424371,0.0,0.0,0.0,0.0,2.7322984837007374,0.27,0.06
45,0.6922251910236725,0.16350640148390258,0.5287187895397699,0.0,0.0,0.0,0.0,2.7322984837007374,0.27,0.06
46,0.6790740467247275,0.20287702184121056,0.4761970248835169,0.0,0.0,0.0,0.0,2.7322984837007374,0.27,0.06
47,0.6865180906675274,0.27645490250896715,0.0,0.0,0.0,0.4100631881585603,0.0,2.624387118395853,0.27,0.06
48,0.68159084253396,0.3166860828740851,0.36490475965987484,0.0,0.0,0.0,0.0,2.624387118395853,0.27,0.06
49,0.6749975464703375,0.3461602631415778,0.3288372833287597,0.0,0.0,0.0,0.0,2.624387118395853,0.27,0.06
50,0.6996337871381725,0.37025594336025813,0.0,0.0,0.0,0.32937784377791435,0.0,2.5377087384542967,0.27,0.06
51,0.6983222174911075,0.3407817630927655,0.357540454398342,0.0,0.0,0.0,0.0,2.5377087384542967,0.27,0.06
52,0.7088502224959226,0.38230378346959826,0.3265464390263243,0.0,0.0,0.0,0.0,2.5377087384542967,0.27,0.06
53,0.6896374995578425,0.42834374388743407,0.0,0.0,0.0,0.2612937556704084,0.0,2.4689472238041894,0.27,0.06
54,0.682902412181025,0.43544336395186695,0.0,0.0,0.0,0.24745904822915804,0.0,2.4038264216386214,0.27,0.06
55,0.7009453567852375,0.415435343770284,0.0,0.0,0.0,0.28551001301495366,0.0,2.3286922076873178,0.27,0.06
56,0.2260862488912835,0.30162628273740966,0.0,-0.0,0.07554003384612615,0.0,0.0,2.3466329657257727,0.27,0.06
57,0.20953211307563124,0.2121280419251683,0.0,-0.0,0.002595928849537188,0.0,0.0,2.3472494988275376,0.27,0.06
58,0.14320922632812574,0.15683706142337495,0.0,-0.0,0.013627835095249202,0.0,0.0,2.3504861096626595,0.27,0.06
59,0.3793626584563375,0.14177726128669962,0.23758539716963786,0.0,0.0,0.0,0.0,2.3504861096626595,0.27,0.06
60,0.6444060706482675,0.14672548133160737,0.49768058931666015,0.0,0.0,0.0,0.0,2.3504861096626595,0.27,0.06
61,0.7101263443146875,0.16200042147023505,0.5481259228444524,0.0,0.0,0.0,0.0,2.3504861096626595,0.27,0.06
62,0.62398812154802,0.17146658155614522,0.4525215399918747,0.0,0.0,0.0,0.0,2.3504861096626595,0.27,0.06
63,0.3510398436454025,0.1310202611890746,0.0,0.0,0.0,0.22001958245632794,0.0,2.292586219542573,0.27,0.06
64,0.3451200563194625,0.09681300087862653,0.0,0.0,0.0,0.24830705544083598,0.0,2.2272422575844586,0.27,0.06
65,0.3623122530444975,0.07013564063651613,0.2921766124079814,0.0,0.0,0.0,0.0,2.2272422575844586,0.27,0.06
66,0.3425678126819325,0.05980892054279599,0.0,0.0,0.0,0.2827588921391365,0.0,2.1528320228110016,0.27,0.06
67,0.3654671097631125,0.05270930047836332,0.0,0.0,0.0,0.31275780928474917,0.0,2.07052733615712,0.27,0.06
68,0.407933608065365,0.047115660427598245,0.3608179476377673,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
69,0.429344096357985,0.03807978034559308,0.3912643160123919,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
70,0.5013031878050375,0.02689250024406293,0.47441068756097454,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
71,0.4223963220113725,0.015705220142532755,0.4066911018688397,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
72,0.38255296300325,0.007099620064432615,0.3754533429388174,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
73,0.3865585676010425,0.0,0.3865585676010425,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
74,0.397157468262455,0.0,0.397157468262455,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
75,0.38000071936572,0.0,0.38000071936572,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
76,0.390918650481825,0.0,0.390918650481825,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
77,0.397157468262455,0.0,0.397157468262455,0.0,0.0,0.0,0.0,2.07052733615712,0.27,0.06
78,0.11899835959988075,0.0,0.0,-2.7755575615628914e-17,0.0,0.11899835959988073,0.0,2.039211978367678,0.27,0.06
79,0.12768307753314576,0.0,0.0,0.0,0.0,0.12768307753314576,0.0,2.005611168490534,0.27,0.06
80,0.13491443450615,0.0,0.0,0.0,0.0,0.13491443450615,0.0,1.970107369936284,0.27,0.06
81,0.102869597723817,0.0,0.102869597723817,0.0,0.0,0.0,0.0,1.970107369936284,0.27,0.06
82,0.127080464452062,0.0,0.127080464452062,0.0,0.0,0.0,0.0,1.970107369936284,0.27,0.06
83,0.10620169358392675,0.0,0.10620169358392675,0.0,0.0,0.0,0.0,1.970107369936284,0.27,0.06
84,0.10230243247103225,0.0,0.10230243247103225,0.0,0.0,0.0,0.0,1.970107369936284,0.27,0.06
85,0.1300935298574805,0.0,0.13009352985748013,0.0,0.0,0.0,0.0,1.970107369936284,0.27,0.06
86,0.09776511044875524,0.0,0.0,0.0,0.0,0.09776511044875524,0.0,1.9443797092918746,0.27,0.06
87,0.1077259502007855,0.0,0.0,-1.3877787807814457e-17,0.0,0.10772595020078549,0.0,1.9160307750285102,0.27,0.06
88,0.12587523828989475,0.0,0.0,0.0,0.0,0.12587523828989475,0.0,1.8829057123206432,0.27,0.06
89,0.1119087939400725,0.0,0.0,0.0,0.0,0.1119087939400725,0.0,1.8534560297048346,0.27,0.06
